time,tvlusd,tvleth,dai
2020-04-03 02:00:00,349949069,2466862.181023544,27087882.816601932
2020-04-02 02:00:00,338343484,2479251.732981608,27128596.97459218
2020-04-01 02:00:00,334254838,2485350.8662354075,27300923.684538055
2020-03-31 02:00:00,301928426,2271163.1262223558,3421536.1072490164
2020-03-30 02:00:00,312934181,2479079.3076130874,26837783.581637274
2020-03-29 01:00:00,324933317,2452882.290329886,27068911.161337383
2020-03-28 01:00:00,323643059,2431760.9061537306,27573696.891523596
2020-03-27 01:00:00,337386294,2405949.468729944,27999003.42515263
2020-03-26 01:00:00,320803420,2335323.7242483804,21877673.212359857
2020-03-25 01:00:00,334022322,2387579.14224446,29481666.185707644
2020-03-24 01:00:00,327909699,2385491.7721518986,29964355.299275868
2020-03-23 01:00:00,299261074,2412034.1258966713,28616693.205823507
2020-03-22 01:00:00,331331295,2480395.979937116,28840806.1312424
2020-03-21 01:00:00,320138942,2389453.2168980446,27614267.0893466
2020-03-20 01:00:00,326757584,2377110.315728212,28125886.07902886
2020-03-19 01:00:00,294250969,2456390.0909925704,29419619.394942697
2020-03-18 01:00:00,285391459,2446981.5570607907,30337996.271059304
2020-03-17 01:00:00,284731367,2537034.3669250645,32758556.806110706
2020-03-16 01:00:00,320091839,2538598.1362518836,39191303.558061354
2020-03-15 01:00:00,319072323,2571297.6307518734,41061783.119735576
2020-03-14 01:00:00,358187381,2634311.840847246,42272132.85231885
2020-03-13 01:00:00,310466785,2839981.5678741313,53979539.46272277
2020-03-12 01:00:00,505610307,2570202.8619357464,71216100.58504426
2020-03-11 01:00:00,522593801,2585689.9757557763,74571948.51796432
2020-03-10 01:00:00,528948671,2593648.4799450818,73444616.15233742
2020-03-09 01:00:00,500462507,2483684.8982630274,76643972.67071766
2020-03-08 01:00:00,584323979,2428611.7165419785,76817430.7151386
2020-03-07 01:00:00,595335117,2409288.211250506,76178461.4696505
2020-03-06 01:00:00,548691272,2385199.4087984697,75030850.34015562
2020-03-05 01:00:00,545346422,2396916.4117440223,74688286.62226751
2020-03-04 01:00:00,539340162,2388786.2609619983,73378177.14386584
2020-03-03 01:00:00,556523217,2375157.7696214416,71885464.09805949
2020-03-02 01:00:00,526676157,2381749.002849003,69748329.56276841
2020-03-01 01:00:00,538727140,2421027.9525435916,71227010.69198944
2020-02-29 01:00:00,552998084,2406536.768353714,71012810.75470416
2020-02-28 01:00:00,554721149,2410782.9161234247,71404519.01494145
2020-02-27 01:00:00,545357650,2421981.8359461743,74169156.07948053
2020-02-26 01:00:00,589347619,2372383.9425167055,76416119.29526927
2020-02-25 01:00:00,620932517,2323501.4107169583,71375217.21490449
2020-02-24 01:00:00,636023943,2309706.73275956,71159601.87055343
2020-02-23 01:00:00,611629976,2309170.4458791106,70628387.84781837
2020-02-22 01:00:00,615653759,2306942.552553678,70031835.1764389
2020-02-21 01:00:00,597333011,2309604.4967714497,70235363.06149964
2020-02-20 01:00:00,606663218,2335655.724955725,69797860.36572321
2020-02-19 01:00:00,726519526,2572661.211048159,70802072.08909015
