time,tvlusd,tvleth,category
2020-09-04,3701366474,9540833.803325173,lending
2020-09-03,3947132911,8954678.89698042,lending
2020-09-02,4122048990,8708247.575789584,lending
2020-09-01,3946862398,9093524.406147042,lending
2020-08-31,4132405594,9640737.201381113,lending
2020-08-30,4041935781,10067087.87297634,lending
2020-08-29,3953058117,9958579.46088928,lending
2020-08-28,3768211750,9803860.313247995,lending
2020-08-27,3924422471,10098874.089037571,lending
2020-08-26,3831778067,9924829.224513054,lending
2020-08-25,3883614841,9501430.838674951,lending
2020-08-24,3757694259,9597707.036677565,lending
2020-08-23,3854736479,9747968.03307708,lending
2020-08-22,3685241522,9490706.984290497,lending
2020-08-21,3740758236,8991775.001201864,lending
2020-08-20,3487136084,8556339.305606674,lending
2020-08-19,3455161050,8143011.123942401,lending
2020-08-18,3525670984,8180400.900252905,lending
2020-08-17,3426539644,8002381.288680259,lending
2020-08-16,3313942509,7681832.4269819185,lending
2020-08-15,3316164689,7613041.366881704,lending
2020-08-14,3066491670,7278641.514360314,lending
2020-08-13,2891000414,7458913.836786295,lending
2020-08-12,2885317967,7601343.503345803,lending
2020-08-11,2950357165,7465856.483121615,lending
2020-08-10,2820069396,7234286.070494075,lending
2020-08-09,2809731309,7137275.659816597,lending
2020-08-08,2701467760,7121494.595877051,lending
2020-08-07,2735127908,6950239.900388788,lending
2020-08-06,2793768347,6999119.017436616,lending
2020-08-05,2724356297,7005827.903926762,lending
2020-08-04,2693473965,6967622.849677937,lending
2020-08-03,2592988930,6978279.0516174175,lending
2020-08-02,2595173871,6708822.663702402,lending
2020-08-01,2451463338,7075542.869512511,lending
2020-07-31,2353150424,7033777.98236437,lending
2020-07-30,2294395601,7202623.139224611,lending
2020-07-29,2249716608,7116878.959855747,lending
2020-07-28,2220101527,6926993.843993759,lending
2020-07-27,2209223224,7126756.424400787,lending
2020-07-26,2136773043,7080330.836011795,lending
2020-07-25,2004117289,7206203.620869439,lending
2020-07-24,1947374689,7096070.7247749865,lending
2020-07-23,1828308215,6962066.238909409,lending
2020-07-22,1736532787,7092520.776833851,lending
2020-07-21,1679641852,7099077.98816568,lending
2020-07-20,1695230151,7120123.276912091,lending
2020-07-19,1618084302,6849324.001015916,lending
2020-07-18,1619724493,6987293.442905827,lending
2020-07-17,1592962903,6786940.918580377,lending
2020-07-16,1588811724,6656102.739840806,lending
2020-07-15,1583672040,6589847.037283622,lending
2020-07-14,1551487706,6463724.142815482,lending
2020-07-13,1563582783,6453086.186545605,lending
2020-07-12,1554616671,6488383.434891486,lending
2020-07-11,1504773016,6233008.930494574,lending
2020-07-10,1481008906,6118607.337326999,lending
2020-07-09,1496956036,6078762.429952084,lending
2020-07-08,1445264661,6036524.354690502,lending
2020-07-07,1444274661,5999811.652542373,lending
2020-07-06,1359538129,5931667.229493892,lending
2020-07-05,1357158766,5866004.348201937,lending
2020-07-04,1315719413,5792548.265386987,lending
2020-07-03,1257310024,5527366.351606806,lending
2020-07-02,1253996220,5385193.764493687,lending
2020-07-01,1167488120,5141307.556808172,lending
2020-06-30,1245381130,5461718.84045259,lending
2020-06-29,1238479807,5469833.967847363,lending
2020-06-28,1227077455,5502836.248262253,lending
2020-06-27,1234726143,5342128.425561374,lending
2020-06-26,1237452839,5272487.596932254,lending
2020-06-25,1189520542,5041409.374867556,lending
2020-06-24,1233894142,5077544.718324348,lending
2020-06-23,1210188282,5003672.711485983,lending
2020-06-22,1218907263,5304901.697349523,lending
2020-06-21,1140064971,4954865.361380329,lending
2020-06-20,1074604190,4675241.200783119,lending
2020-06-19,976238542,4224860.613666854,lending
2020-06-18,862120753,3700406.700145935,lending
2020-06-17,793428938,3376724.4243946043,lending
2020-06-16,723300045,3132796.4527027025,lending
2020-06-15,710602289,3053858.3050410417,lending
2020-06-14,735518598,3096920.4126315797,lending
2020-06-13,748953289,3143560.4994753413,lending
2020-06-12,719962848,3117262.0713543477,lending
2020-06-11,723367552,2945187.70408371,lending
2020-06-10,726408488,2977938.293772803,lending
2020-06-09,758144218,3078633.225046699,lending
2020-06-08,772252941,3168997.2547088517,lending
2020-06-07,761215956,3157393.3219959354,lending
2020-06-06,755066871,3143754.146889833,lending
2020-06-05,761864547,3146250.4521990498,lending
2020-06-04,761880353,3136859.1609025034,lending
2020-06-03,725005098,3056256.2094258494,lending
2020-06-02,745001678,3051409.69895556,lending
2020-06-01,717869380,3100278.0393003672,lending
2020-05-31,743892042,3057258.104553674,lending
2020-05-30,684959088,3120258.2361516035,lending
2020-05-29,680980666,3114050.9694530824,lending
2020-05-28,656477108,3164355.0949580637,lending
2020-05-27,642757563,3163799.778499705,lending
2020-05-26,649976022,3147278.820453225,lending
2020-05-25,649474393,3155545.5883781943,lending
2020-05-24,664862954,3173721.676452337,lending
2020-05-23,672955293,3214345.1136797857,lending
2020-05-22,635812603,3162145.5363803646,lending
2020-05-21,658762438,3131446.679659647,lending
2020-05-20,654361477,3061483.470571723,lending
2020-05-19,651611956,3042214.65054391,lending
2020-05-18,634764549,3073176.2236746545,lending
2020-05-17,621188126,3093412.310143917,lending
2020-05-16,602892579,3090013.7307160064,lending
2020-05-15,623344088,3073082.666140801,lending
2020-05-14,617736681,3086522.839012691,lending
2020-05-13,607115528,3165192.263177102,lending
2020-05-12,605905087,3242908.836437593,lending
2020-05-11,620428901,3293671.502893242,lending
2020-05-10,669812709,3199793.192566761,lending
2020-05-09,670428308,3180399.9430740033,lending
2020-05-08,663062970,3140543.5987306405,lending
2020-05-07,630593035,3173114.4517687317,lending
2020-05-06,644968037,3141894.1786827743,lending
2020-05-05,647045993,3124920.2791461414,lending
2020-05-04,650292891,3090305.046808915,lending
2020-05-03,656439583,3078118.6485979557,lending
2020-05-02,639423407,3006221.941701928,lending
2020-05-01,619802328,2997544.7502055415,lending
2020-04-30,656406241,3056037.2503375392,lending
2020-04-29,605784576,3086957.6844679983,lending
2020-04-28,601851222,3068477.73019272,lending
2020-04-27,588927497,2997239.02997608,lending
2020-04-26,600378817,3090912.360996705,lending
2020-04-25,580975068,3101511.1467008325,lending
2020-04-24,568271694,3070742.9698476177,lending
2020-04-23,578047074,3143268.482871126,lending
2020-04-22,549146935,3165841.894384872,lending
2020-04-21,552920208,3187962.453874538,lending
2020-04-20,583887894,3203950.2524143984,lending
2020-04-19,588836798,3111751.82582043,lending
2020-04-18,545149887,3156994.9444058375,lending
2020-04-17,548011562,3157476.158100945,lending
2020-04-16,501433458,3207326.7110144557,lending
2020-04-15,516468993,3201518.6771634016,lending
2020-04-14,507774957,3224991.7878691647,lending
2020-04-13,515937741,3235530.7976922113,lending
2020-04-12,514058200,3217488.8902797773,lending
2020-04-11,509059945,3215792.4510423243,lending
2020-04-10,538661556,3164130.3806390977,lending
2020-04-09,543348053,3134941.4551119315,lending
2020-04-08,529904514,3210375.099963649,lending
2020-04-07,566770934,3303245.9144422426,lending
2020-04-06,509498622,3542120.56451613,lending
2020-04-05,513568393,3543806.189621861,lending
2020-04-04,502010733,3542021.682071545,lending
2020-04-03,504180573,3554071.4295784575,lending
2020-04-02,492905980,3611826.6285630544,lending
2020-04-01,483181713,3592696.2078964976,lending
2020-03-31,450898937,3391747.683165338,lending
2020-03-30,455912913,3611763.550661491,lending
2020-03-29,474124814,3579110.8477391107,lending
2020-03-28,473696999,3559223.0746111656,lending
2020-03-27,489658870,3491826.78456821,lending
2020-03-26,462379159,3365939.863143336,lending
2020-03-25,478379753,3419440.6933523943,lending
2020-03-24,468602087,3409006.8892768803,lending
2020-03-23,431895346,3481061.868300154,lending
2020-03-22,510666802,3822928.597095373,lending
2020-03-21,459600390,3430365.6515897894,lending
2020-03-20,468116042,3405470.98792376,lending
2020-03-19,427958919,3572576.333583772,lending
2020-03-18,410036571,3515704.1155791823,lending
2020-03-17,409282187,3646816.243428673,lending
2020-03-16,455713791,3614194.551510826,lending
2020-03-15,464666482,3744592.489322266,lending
2020-03-14,510638106,3755520.3794954764,lending
2020-03-13,449616934,4112851.5733626056,lending
2020-03-12,690965017,3512428.919276129,lending
2020-03-11,711661225,3521157.9090594226,lending
2020-03-10,730810484,3583458.291654408,lending
2020-03-09,704123867,3494411.250620348,lending
2020-03-08,811949830,3374687.57273483,lending
2020-03-07,829221935,3355815.1962768114,lending
2020-03-06,778684332,3384995.35732916,lending
2020-03-05,772548806,3395520.4201828404,lending
2020-03-04,763852657,3383172.366905838,lending
2020-03-03,783790341,3345099.829285988,lending
2020-03-02,743890149,3364039.926739927,lending
2020-03-01,755031013,3393092.8141290667,lending
2020-02-29,774097914,3368718.8911614954,lending
2020-02-28,774942662,3367851.6384180794,lending
2020-02-27,756066697,3357759.4572989293,lending
2020-02-26,816655953,3287400.1811448354,lending
2020-02-25,861125040,3222290.9744050293,lending
2020-02-24,883666690,3209015.8332425468,lending
2020-02-23,851088971,3213232.7972212783,lending
2020-02-22,857567742,3213428.7930453033,lending
2020-02-21,833779009,3223829.4436066975,lending
2020-02-20,839158269,3230762.5664125667,lending
2020-02-19,959460783,3397524.0191218127,lending
2020-02-18,926983445,3463028.410789002,lending
2020-02-17,906162218,3496131.093020564,lending
2020-02-16,916155385,3459278.753209485,lending
2020-02-15,991112676,3471741.193778898,lending
2020-02-14,936764736,3493174.986016333,lending
2020-02-13,931239332,3504325.024459998,lending
2020-02-12,847912364,3576331.199122696,lending
2020-02-11,798607684,3586991.034854474,lending
2020-02-10,815843404,3575124.469763366,lending
2020-02-09,798495098,3581177.279454635,lending
2020-02-08,797811435,3579395.374399928,lending
2020-02-07,763740331,3588836.6665100325,lending
2020-02-06,735971560,3612484.955578462,lending
2020-02-05,692730056,3663493.870643609,lending
2020-02-04,685492057,3614511.2417611387,lending
2020-02-03,680217956,3610690.3551143906,lending
2020-02-02,674499927,3675949.2451904737,lending
2020-02-01,661298224,3680626.838092058,lending
2020-01-31,676272989,3668219.7277066605,lending
2020-01-30,641163655,3689938.1618324127,lending
2020-01-29,647435220,3686988.7243735767,lending
2020-01-28,624185893,3673842.8075338434,lending
2020-01-27,612367672,3641144.440480437,lending
2020-01-26,590305849,3644988.2618092005,lending
2020-01-25,593659077,3633164.4859241126,lending
2020-01-24,588610319,3604913.7616364537,lending
2020-01-23,605965155,3582201.2000472923,lending
2020-01-22,604114957,3564730.9671328254,lending
2020-01-21,590263345,3530494.317841976,lending
2020-01-20,605547820,3619532.695756127,lending
2020-01-19,623881016,3576684.1483689733,lending
2020-01-18,615328655,3623416.882581557,lending
2020-01-17,597808042,3635196.3636363638,lending
2020-01-16,599829019,3608211.134504331,lending
2020-01-15,589660953,3555387.1148628276,lending
2020-01-14,524383283,3633727.9675698145,lending
2020-01-13,530163973,3606803.000204095,lending
2020-01-12,515045386,3601967.8718791525,lending
2020-01-11,520847853,3584637.666896077,lending
2020-01-10,495346755,3579095.0505780345,lending
2020-01-09,503401166,3570474.260585856,lending
2020-01-08,514684728,3594418.1018227525,lending
2020-01-07,512106486,3537624.247029566,lending
2020-01-06,483237431,3539941.6233242988,lending
